City,State,Population,lat,lon;
San Salvador, San Salvador, 525990, 13.6929, 89.2182;
Soyapango, San Salvador, 329708, 13.7100, 13.7100;
Santa Ana, Santa Ana, 176661, 13.9778, 89.5639;
;San Miguel
;Mejicanos
;Santa Tecla
;Apopa
;Delgado
;Sonsonate
;San Marcos
;Usulutan
;Cojutepeque
;Cuscatancingo
;San Vicente
;Zacatecoluca
;San Martin
;Ilopango
;Ahuachapan
;Antiguo Cuscatlan
;Chalchuapa
;Quezaltepeque
;La Union
;Ayutuxtepeque
;Acajutla
;Aguilares
;Sensuntepeque
;Chalatenango
;Izalco
;Metapan
;San Rafael Oriente
;Puerto El Triunfo
;La Libertad
;San Francisco
;Sonzacate
;Santiago de Maria
